Year,Année,ISO,Jurisdiction,Juridiction,Insect species,Insecte espèce,Defoliated area (hectares),Data qualifier,Superficie défoliée (en hectare),Qualificatifs de données
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other,Autres,0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Spruce budworm,"Tordeuse des bourgeons de l'épinette",0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Mountain pine beetle,Dendroctone du pin ponderosa,,n,,n
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Forest tent caterpillar,Livrée des forêts,0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Gypsy moth,Spongieuse,0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Blackheaded budworm,"Tordeuse à tête noire de l'épinette",0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Western spruce budworm,"Tordeuse occidentale de l'épinette",,n,,n
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,,n,,n
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Spruce beetle,"Dendroctone de l'épinette",0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Other,Autres,0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Spruce budworm,"Tordeuse des bourgeons de l'épinette",0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Mountain pine beetle,Dendroctone du pin ponderosa,,n,,n
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Hemlock looper,Arpenteuse de la pruche,,n,,n
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Forest tent caterpillar,Livrée des forêts,0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Gypsy moth,Spongieuse,,n,,n
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Blackheaded budworm,"Tordeuse à tête noire de l'épinette",0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Western spruce budworm,"Tordeuse occidentale de l'épinette",0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,,n,,n
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Spruce beetle,"Dendroctone de l'épinette",0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Other,Autres,0,a,0,a
1975,1975,ON,Ontario,Ontario,Spruce budworm,"Tordeuse des bourgeons de l'épinette",15339000,a,15339000,a
1975,1975,ON,Ontario,Ontario,Jack pine budworm,Tordeuse du pin gris,,u,,u
1975,1975,ON,Ontario,Ontario,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
1975,1975,ON,Ontario,Ontario,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1975,1975,ON,Ontario,Ontario,Forest tent caterpillar,Livrée des forêts,,u,,u
1975,1975,ON,Ontario,Ontario,Gypsy moth,Spongieuse,,u,,u
1975,1975,ON,Ontario,Ontario,Blackheaded budworm,"Tordeuse à tête noire de l'épinette",0,a,0,a
1975,1975,ON,Ontario,Ontario,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1975,1975,ON,Ontario,Ontario,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1975,1975,ON,Ontario,Ontario,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1975,1975,ON,Ontario,Ontario,Western spruce budworm,"Tordeuse occidentale de l'épinette",0,a,0,a
1975,1975,ON,Ontario,Ontario,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1975,1975,ON,Ontario,Ontario,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,0,a,0,a
1975,1975,ON,Ontario,Ontario,Spruce beetle,"Dendroctone de l'épinette",0,a,0,a
1975,1975,ON,Ontario,Ontario,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1975,1975,ON,Ontario,Ontario,Other,Autres,,u,,u
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Spruce budworm,"Tordeuse des bourgeons de l'épinette",0,a,0,a
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Jack pine budworm,Tordeuse du pin gris,,n,,n
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Mountain pine beetle,Dendroctone du pin ponderosa,,n,,n
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Forest tent caterpillar,Livrée des forêts,0,a,0,a
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Gypsy moth,Spongieuse,,n,,n
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Blackheaded budworm,"Tordeuse à tête noire de l'épinette",0,a,0,a
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Western spruce budworm,"Tordeuse occidentale de l'épinette",,n,,n
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,,n,,n
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Spruce beetle,"Dendroctone de l'épinette",0,a,0,a
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Other,Autres,0,a,0,a
1975,1975,QC,Quebec,Québec,Spruce budworm,"Tordeuse des bourgeons de l'épinette",31129394,r,31129394,r
1975,1975,QC,Quebec,Québec,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1975,1975,QC,Quebec,Québec,Mountain pine beetle,Dendroctone du pin ponderosa,,n,,n
1975,1975,QC,Quebec,Québec,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1975,1975,QC,Quebec,Québec,Forest tent caterpillar,Livrée des forêts,3100,r,3100,r
1975,1975,QC,Quebec,Québec,Gypsy moth,Spongieuse,,u,,u
1975,1975,QC,Quebec,Québec,Blackheaded budworm,"Tordeuse à tête noire de l'épinette",0,a,0,a
1975,1975,QC,Quebec,Québec,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1975,1975,QC,Quebec,Québec,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1975,1975,QC,Quebec,Québec,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1975,1975,QC,Quebec,Québec,Western spruce budworm,"Tordeuse occidentale de l'épinette",,n,,n
1975,1975,QC,Quebec,Québec,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1975,1975,QC,Quebec,Québec,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,,n,,n
1975,1975,QC,Quebec,Québec,Spruce beetle,"Dendroctone de l'épinette",0,a,0,a
1975,1975,QC,Quebec,Québec,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1975,1975,QC,Quebec,Québec,Other,Autres,0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Spruce budworm,"Tordeuse des bourgeons de l'épinette",0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Jack pine budworm,Tordeuse du pin gris,20000,a,20000,a
1975,1975,SK,Saskatchewan,Saskatchewan,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Forest tent caterpillar,Livrée des forêts,0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Gypsy moth,Spongieuse,,n,,n
1975,1975,SK,Saskatchewan,Saskatchewan,Blackheaded budworm,"Tordeuse à tête noire de l'épinette",0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Western spruce budworm,"Tordeuse occidentale de l'épinette",,n,,n
1975,1975,SK,Saskatchewan,Saskatchewan,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,,n,,n
1975,1975,SK,Saskatchewan,Saskatchewan,Spruce beetle,"Dendroctone de l'épinette",0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1975,1975,SK,Saskatchewan,Saskatchewan,Other,Autres,0,a,0,a
1975,1975,YT,Yukon,Yukon,Spruce budworm,"Tordeuse des bourgeons de l'épinette",0,a,0,a
1975,1975,YT,Yukon,Yukon,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1975,1975,YT,Yukon,Yukon,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
1975,1975,YT,Yukon,Yukon,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1975,1975,YT,Yukon,Yukon,Forest tent caterpillar,Livrée des forêts,0,a,0,a
1975,1975,YT,Yukon,Yukon,Gypsy moth,Spongieuse,0,a,0,a
1975,1975,YT,Yukon,Yukon,Blackheaded budworm,"Tordeuse à tête noire de l'épinette",0,a,0,a
1975,1975,YT,Yukon,Yukon,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1975,1975,YT,Yukon,Yukon,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1975,1975,YT,Yukon,Yukon,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1975,1975,YT,Yukon,Yukon,Western spruce budworm,"Tordeuse occidentale de l'épinette",0,a,0,a
1975,1975,YT,Yukon,Yukon,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1975,1975,YT,Yukon,Yukon,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,0,a,0,a
1975,1975,YT,Yukon,Yukon,Spruce beetle,"Dendroctone de l'épinette",0,a,0,a
1975,1975,YT,Yukon,Yukon,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1975,1975,YT,Yukon,Yukon,Other,Autres,0,a,0,a
1976,1976,AB,Alberta,Alberta,Spruce budworm,"Tordeuse des bourgeons de l'épinette",0,a,0,a
1976,1976,AB,Alberta,Alberta,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1976,1976,AB,Alberta,Alberta,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
1976,1976,AB,Alberta,Alberta,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1976,1976,AB,Alberta,Alberta,Forest tent caterpillar,Livrée des forêts,0,a,0,a
1976,1976,AB,Alberta,Alberta,Gypsy moth,Spongieuse,,n,,n
1976,1976,AB,Alberta,Alberta,Blackheaded budworm,"Tordeuse à tête noire de l'épinette",0,a,0,a
1976,1976,AB,Alberta,Alberta,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1976,1976,AB,Alberta,Alberta,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1976,1976,AB,Alberta,Alberta,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1976,1976,AB,Alberta,Alberta,Western spruce budworm,"Tordeuse occidentale de l'épinette",0,a,0,a
1976,1976,AB,Alberta,Alberta,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1976,1976,AB,Alberta,Alberta,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,0,a,0,a
1976,1976,AB,Alberta,Alberta,Spruce beetle,"Dendroctone de l'épinette",0,a,0,a
1976,1976,AB,Alberta,Alberta,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1976,1976,AB,Alberta,Alberta,Other,Autres,0,a,0,a
1976,1976,BC,British Columbia,Colombie-Britannique,Spruce budworm,"Tordeuse des bourgeons de l'épinette",0,a,0,a
1976,1976,BC,British Columbia,Colombie-Britannique,Jack pine budworm,Tordeuse du pin gris,,n,,n
1976,1976,BC,British Columbia,Colombie-Britannique,Mountain pine beetle,Dendroctone du pin ponderosa,44000,a,44000,a
1976,1976,BC,British Columbia,Colombie-Britannique,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1976,1976,BC,British Columbia,Colombie-Britannique,Forest tent caterpillar,Livrée des forêts,0,a,0,a
1976,1976,BC,British Columbia,Colombie-Britannique,Gypsy moth,Spongieuse,,n,,n
1976,1976,BC,British Columbia,Colombie-Britannique,Blackheaded budworm,"Tordeuse à tête noire de l'épinette",0,a,0,a
1976,1976,BC,British Columbia,Colombie-Britannique,Balsam fir sawfly,Diprion du sapin,,n,,n
1976,1976,BC,British Columbia,Colombie-Britannique,Swaine jack pine sawfly,Diprion de Swaine,,n,,n
1976,1976,BC,British Columbia,Colombie-Britannique,Bruce spanworm,Arpenteuse de Bruce,,n,,n
1976,1976,BC,British Columbia,Colombie-Britannique,Western spruce budworm,"Tordeuse occidentale de l'épinette",,u,,u
1976,1976,BC,British Columbia,Colombie-Britannique,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1976,1976,BC,British Columbia,Colombie-Britannique,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,,u,,u
1976,1976,BC,British Columbia,Colombie-Britannique,Spruce beetle,"Dendroctone de l'épinette",0,a,0,a
1976,1976,BC,British Columbia,Colombie-Britannique,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1976,1976,BC,British Columbia,Colombie-Britannique,Other,Autres,,u,,u
1976,1976,MB,Manitoba,Manitoba,Spruce budworm,"Tordeuse des bourgeons de l'épinette",56000,a,56000,a
1976,1976,MB,Manitoba,Manitoba,Jack pine budworm,Tordeuse du pin gris,3000,a,3000,a
1976,1976,MB,Manitoba,Manitoba,Mountain pine beetle,Dendroctone du pin ponderosa,,n,,n
1976,1976,MB,Manitoba,Manitoba,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1976,1976,MB,Manitoba,Manitoba,Forest tent caterpillar,Livrée des forêts,10300000,a,10300000,a
1976,1976,MB,Manitoba,Manitoba,Gypsy moth,Spongieuse,,n,,n
1976,1976,MB,Manitoba,Manitoba,Blackheaded budworm,"Tordeuse à tête noire de l'épinette",0,a,0,a
1976,1976,MB,Manitoba,Manitoba,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1976,1976,MB,Manitoba,Manitoba,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1976,1976,MB,Manitoba,Manitoba,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1976,1976,MB,Manitoba,Manitoba,Western spruce budworm,"Tordeuse occidentale de l'épinette",,n,,n
1976,1976,MB,Manitoba,Manitoba,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1976,1976,MB,Manitoba,Manitoba,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,,n,,n
1976,1976,MB,Manitoba,Manitoba,Spruce beetle,"Dendroctone de l'épinette",0,a,0,a
1976,1976,MB,Manitoba,Manitoba,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1976,1976,MB,Manitoba,Manitoba,Other,Autres,0,a,0,a
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Spruce budworm,"Tordeuse des bourgeons de l'épinette",1364000,a,1364000,a
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Mountain pine beetle,Dendroctone du pin ponderosa,,n,,n
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
