Year,Année,ISO,Jurisdiction,Juridiction,Tenure (En),Tenure (Fr),Application Method,"Méthode d'application",Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1990,1990,NU,Nunavut,Nunavut,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,ON,Ontario,Ontario,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1990,1990,ON,Ontario,Ontario,Federal land,Terres fédérales,Ground,Sol,,u,,u
1990,1990,ON,Ontario,Ontario,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,ON,Ontario,Ontario,Provincial land,Terres provinciales,Aerial,Aérien,,u,,u
1990,1990,ON,Ontario,Ontario,Private land,Terres privées,Aerial,Aérien,,u,,u
1990,1990,ON,Ontario,Ontario,Provincial land,Terres provinciales,Ground,Sol,,u,,u
1990,1990,ON,Ontario,Ontario,Private land,Terres privées,Ground,Sol,,u,,u
1990,1990,ON,Ontario,Ontario,Provincial land,Terres provinciales,Unspecified,Indéterminée,27002,a,27002,a
1990,1990,ON,Ontario,Ontario,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Federal land,Terres fédérales,Aerial,Aérien,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Federal land,Terres fédérales,Ground,Sol,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Private land,Terres privées,Ground,Sol,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1990,1990,QC,Quebec,Québec,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1990,1990,QC,Quebec,Québec,Federal land,Terres fédérales,Ground,Sol,,u,,u
1990,1990,QC,Quebec,Québec,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,QC,Quebec,Québec,Provincial land,Terres provinciales,Aerial,Aérien,,U,,U
1990,1990,QC,Quebec,Québec,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1990,1990,QC,Quebec,Québec,Provincial land,Terres provinciales,Ground,Sol,87,a,87,a
1990,1990,QC,Quebec,Québec,Private land,Terres privées,Ground,Sol,0,a,0,a
1990,1990,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1990,1990,QC,Quebec,Québec,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1990,1990,SK,Saskatchewan,Saskatchewan,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1990,1990,SK,Saskatchewan,Saskatchewan,Federal land,Terres fédérales,Ground,Sol,,u,,u
1990,1990,SK,Saskatchewan,Saskatchewan,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Ground,Sol,645,a,645,a
1990,1990,SK,Saskatchewan,Saskatchewan,Private land,Terres privées,Ground,Sol,0,a,0,a
1990,1990,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1990,1990,SK,Saskatchewan,Saskatchewan,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1990,1990,YT,Yukon,Yukon,Federal land,Terres fédérales,Aerial,Aérien,,n,,n
1990,1990,YT,Yukon,Yukon,Federal land,Terres fédérales,Ground,Sol,,n,,n
1990,1990,YT,Yukon,Yukon,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1990,1990,YT,Yukon,Yukon,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1990,1990,YT,Yukon,Yukon,Private land,Terres privées,Aerial,Aérien,,u,,u
1990,1990,YT,Yukon,Yukon,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1990,1990,YT,Yukon,Yukon,Private land,Terres privées,Ground,Sol,,u,,u
1990,1990,YT,Yukon,Yukon,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1990,1990,YT,Yukon,Yukon,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1991,1991,AB,Alberta,Alberta,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1991,1991,AB,Alberta,Alberta,Federal land,Terres fédérales,Ground,Sol,,u,,u
1991,1991,AB,Alberta,Alberta,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1991,1991,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,6924,a,6924,a
1991,1991,AB,Alberta,Alberta,Private land,Terres privées,Aerial,Aérien,,u,,u
1991,1991,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,3076,a,3076,a
1991,1991,AB,Alberta,Alberta,Private land,Terres privées,Ground,Sol,,u,,u
1991,1991,AB,Alberta,Alberta,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1991,1991,AB,Alberta,Alberta,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1991,1991,BC,British Columbia,Colombie-Britannique,Federal land,Terres fédérales,Aerial,Aérien,0,a,0,a
1991,1991,BC,British Columbia,Colombie-Britannique,Federal land,Terres fédérales,Ground,Sol,0,a,0,a
1991,1991,BC,British Columbia,Colombie-Britannique,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1991,1991,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Aerial,Aérien,243,r,243,r
1991,1991,BC,British Columbia,Colombie-Britannique,Private land,Terres privées,Aerial,Aérien,0,r,0,r
1991,1991,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Ground,Sol,398,r,398,r
1991,1991,BC,British Columbia,Colombie-Britannique,Private land,Terres privées,Ground,Sol,0,r,0,r
1991,1991,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Unspecified,Indéterminée,0,r,0,r
1991,1991,BC,British Columbia,Colombie-Britannique,Private land,Terres privées,Unspecified,Indéterminée,0,r,0,r
1991,1991,MB,Manitoba,Manitoba,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1991,1991,MB,Manitoba,Manitoba,Federal land,Terres fédérales,Ground,Sol,,u,,u
1991,1991,MB,Manitoba,Manitoba,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1991,1991,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Ground,Sol,2,a,2,a
1991,1991,MB,Manitoba,Manitoba,Private land,Terres privées,Ground,Sol,0,a,0,a
1991,1991,MB,Manitoba,Manitoba,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1991,1991,MB,Manitoba,Manitoba,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres fédérales,Ground,Sol,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privées,Ground,Sol,0,a,0,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres fédérales,Aerial,Aérien,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres fédérales,Ground,Sol,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Federal land,Terres fédérales,Unspecified,Indéterminée,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Aerial,Aérien,0,a,0,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Aerial,Aérien,0,a,0,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Ground,Sol,0,a,0,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Ground,Sol,0,a,0,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provincial land,Terres provinciales,Unspecified,Indéterminée,,u,,u
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Private land,Terres privées,Unspecified,Indéterminée,,u,,u
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Federal land,Terres fédérales,Aerial,Aérien,,n,,n
